Año,Trimestre,Ingresos (miles de $),Periodo
2013,1,13135235,Ene-Mar 2013
2013,2,13970806,Abr-Jun 2013
2013,3,15235659,Jul-Sept 2013
2013,4,16218846,Oct-Dic 2013
2014,1,15938353,Ene-Mar 2013
2014,2,17680972,Abr-Jun 2014
2014,3,18976053,Jul-Sept 2014
2014,4,20012332,Oct-Dic 2014
2015,1,19337342,Ene-Mar 2015
2015,2,19945453,Abr-Jun 2015
2015,3,21785238,Jul-Sept 2015
2015,4,24881967,Oct-Dic 2015
2016,1,24763052,Ene-Mar 2016
2016,2,25353971,Abr-Jun 2016
2016,3,27416177,Jul-Sept 2016
2016,4,30143233,Oct-Dic 2016
2017,1,31205565,Ene-Mar 2017
2017,2,33509264,Abr-Jun 2017
2017,3,35711689,Jul-Sept 2017
2017,4,38110028,Oct-Dic 2017
2018,1,38733946,Ene-Mar 2018
2018,2,40653502,Abr-Jun 2018
2018,3,43280089,Jul-Sept 2018
2018,4,44026803,Oct-Dic 2018
2019,1,50246691,Ene-Mar 2019
2019,2,55338816,Abr-Jun 2019
2019,3,60905891,Jul-Sept 2019
2019,4,65388842,Oct-Dic 2019
2020,1,72077147,Ene-Mar 2020
2020,2,73538944,Abr-Jun 2020
2020,3,79634755,Jul-Sept 2020
2020,4,83479114,Oct-Dic 2020
2021,1,93112153,Ene-Mar 2021
2021,2,104782020,Abr-Jun 2021
2021,3,117751925,Jul-Sept 2021
2021,4,127389786,Oct-Dic 2021
2022,1,130454676,Ene-Mar 2022
2022,2,153032313,Abr-Jun 2022
2022,3,174057836,Jul-Sept 2022
