Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
2022,3,Buenos Aires,16.75,49.6
2022,3,Capital Federal,24.12,58.73
2022,3,Catamarca,12.36,48.58
2022,3,Chaco,9.9,37.06
2022,3,Chubut,12.48,40.73
2022,3,Córdoba,29.7,97.02
2022,3,Corrientes,11.89,45.17
2022,3,Entre Ríos,16.36,54.71
2022,3,Formosa,11.05,43.42
2022,3,Jujuy,14.77,57.76
2022,3,La Pampa,20.33,61.71
2022,3,La Rioja,5.99,22.49
2022,3,Mendoza,6.55,23.47
2022,3,Misiones,11.07,40.65
2022,3,Neuquén,10.82,36.34
2022,3,Río Negro,13.19,42.88
2022,3,Salta,14.67,60.58
2022,3,San Juan,4.92,19.32
2022,3,San Luis,9.08,31.72
2022,3,Santa Cruz,10.92,36.71
2022,3,Santa Fe,21.11,67.15
2022,3,Santiago Del Estero,15.11,60.9
2022,3,Tierra Del Fuego,24.01,81.0
2022,3,Tucumán,7.56,30.52
2022,2,Buenos Aires,16.76,49.77
2022,2,Capital Federal,24.18,58.82
2022,2,Catamarca,12.35,48.55
2022,2,Chaco,9.95,37.24
2022,2,Chubut,12.39,40.43
2022,2,Córdoba,29.77,97.25
2022,2,Corrientes,11.63,44.16
2022,2,Entre Ríos,16.32,54.59
2022,2,Formosa,10.96,43.07
2022,2,Jujuy,14.28,55.86
2022,2,La Pampa,21.41,64.98
2022,2,La Rioja,5.97,22.41
2022,2,Mendoza,6.4,22.95
2022,2,Misiones,11.07,40.64
2022,2,Neuquén,11.14,37.43
2022,2,Río Negro,14.05,45.67
2022,2,Salta,14.65,60.5
2022,2,San Juan,4.69,18.4
2022,2,San Luis,9.06,31.65
2022,2,Santa Cruz,10.97,36.86
2022,2,Santa Fe,20.91,66.49
2022,2,Santiago Del Estero,14.89,60.0
2022,2,Tierra Del Fuego,23.39,78.89
2022,2,Tucumán,7.65,30.89
2022,1,Buenos Aires,16.7,49.7
2022,1,Capital Federal,24.19,58.78
2022,1,Catamarca,11.18,43.97
2022,1,Chaco,9.78,36.61
2022,1,Chubut,12.22,39.88
2022,1,Córdoba,29.41,96.05
2022,1,Corrientes,11.54,43.83
2022,1,Entre Ríos,16.29,54.48
2022,1,Formosa,10.97,43.1
2022,1,Jujuy,14.01,54.78
2022,1,La Pampa,21.65,65.7
2022,1,La Rioja,5.91,22.19
2022,1,Mendoza,5.96,21.37
2022,1,Misiones,10.88,39.96
2022,1,Neuquén,11.21,37.67
2022,1,Río Negro,14.13,45.94
2022,1,Salta,14.86,61.35
2022,1,San Juan,4.34,17.02
2022,1,San Luis,8.96,31.32
2022,1,Santa Cruz,10.98,36.9
2022,1,Santa Fe,20.78,66.1
2022,1,Santiago Del Estero,14.63,58.96
2022,1,Tierra Del Fuego,23.68,79.88
2022,1,Tucumán,6.92,27.93
2021,4,Buenos Aires,16.89,50.38
2021,4,Capital Federal,24.22,58.79
2021,4,Catamarca,10.68,42.01
2021,4,Chaco,9.61,35.97
2021,4,Chubut,12.1,39.48
2021,4,Córdoba,29.33,95.8
2021,4,Corrientes,10.27,39.01
2021,4,Entre Ríos,16.34,54.64
2021,4,Formosa,11.01,43.27
2021,4,Jujuy,13.84,54.13
2021,4,La Pampa,22.72,68.95
2021,4,La Rioja,6.39,24.01
2021,4,Mendoza,5.73,20.53
2021,4,Misiones,10.9,40.03
2021,4,Neuquén,11.35,38.12
2021,4,Río Negro,14.62,47.53
2021,4,Salta,14.24,58.79
2021,4,San Juan,4.22,16.59
2021,4,San Luis,8.98,31.37
2021,4,Santa Cruz,11.02,37.05
2021,4,Santa Fe,20.89,66.45
2021,4,Santiago Del Estero,19.23,77.49
2021,4,Tierra Del Fuego,23.65,79.76
2021,4,Tucumán,6.39,25.79
2021,3,Buenos Aires,16.78,50.19
2021,3,Capital Federal,24.21,58.69
2021,3,Catamarca,10.38,40.8
2021,3,Chaco,9.49,35.49
2021,3,Chubut,11.84,38.64
2021,3,Córdoba,29.06,94.91
2021,3,Corrientes,10.22,38.82
2021,3,Entre Ríos,17.42,58.25
2021,3,Formosa,10.83,42.57
2021,3,Jujuy,13.82,54.05
2021,3,La Pampa,22.4,67.98
2021,3,La Rioja,5.19,19.49
2021,3,Mendoza,5.58,20.0
2021,3,Misiones,11.0,40.38
2021,3,Neuquén,11.56,38.84
2021,3,Río Negro,14.79,48.08
2021,3,Salta,16.83,69.51
2021,3,San Juan,4.3,16.88
2021,3,San Luis,8.99,31.41
2021,3,Santa Cruz,11.23,37.74
2021,3,Santa Fe,23.12,73.52
2021,3,Santiago Del Estero,19.26,77.62
2021,3,Tierra Del Fuego,23.79,80.26
