Provincias,Partido,Localidad,ADSL,DIALUP,FIBRAOPTICA,4G,TELEFONIAFIJA,SATELITAL
Buenos Aires,Bahía Blanca,Villa Bordeau,,--,--,,--,--
BUENOS AIRES,,Villa Espora,--,,--,--,,
BUENOS AIRES,,,SI,,,SI,,
Buenos Aires,Balcarce,,--,--,,--,SI,--
BUENOS AIRES,,Napaleofú,--,,SI,SI,,--
Buenos Aires,Balcarce,Ramos Otero,,--,--,,--,
Buenos Aires,Balcarce,San Agustín,,--,--,,SI,
BUENOS AIRES,,,--,,,SI,,--
Buenos Aires,Baradero,,SI,--,,SI,SI,SI
BUENOS AIRES,,Irineo Portela,--,,SI,--,,SI
Buenos Aires,Baradero,,--,--,,SI,,--
Buenos Aires,Baradero,Villa Alsina (Est. Alsina),SI,--,--,SI,SI,
BUENOS AIRES,Benito Juárez,Barker,,SI,SI,,SI,
CHUBUT,Futaleufú,Lago Rosario,,--,--,,SI,SI
,General Las Heras,General Las Heras (Est. Las Heras),,SI,SI,,SI,--
BUENOS AIRES,General Las Heras,,--,--,,--,--,
BUENOS AIRES,,,--,,,--,,SI
,General Las Heras,Plomer,,--,--,--,SI,--
BUENOS AIRES,General Las Heras,Villars,,SI,SI,,SI,--
,General Lavalle,Chacras de San Clemente,,--,--,,--,--
,General Lavalle,General Lavalle,--,--,SI,SI,SI,
BUENOS AIRES,,,--,,,SI,,--
BUENOS AIRES,,Barrio Río Salado,--,,--,--,,--
BUENOS AIRES,,Loma Verde,--,,--,SI,,
BUENOS AIRES,General Paz,,SI,SI,,SI,SI,
,General Paz,Villanueva (Ap. Río Salado),,--,--,,SI,--
BUENOS AIRES,General Pinto,Colonia San Ricardo (Est. Iriarte),,--,--,,SI,--
MISIONES,San Ignacio,,--,--,,--,--,--
BUENOS AIRES,,,--,,,SI,,
,Magdalena,Los Naranjos,--,--,SI,--,--,--
,Magdalena,Magdalena,,SI,--,,SI,--
BUENOS AIRES,,Roberto J. Payró,--,,--,--,,--
BUENOS AIRES,,,--,,,--,,
BUENOS AIRES,Maipú,,SI,--,,SI,SI,--
BUENOS AIRES,,,SI,,,SI,,--
BUENOS AIRES,Maipú,Santo Domingo,,--,--,,SI,
Buenos Aires,Malvinas Argentinas,Area De Promocion El Triángulo,SI,--,SI,SI,--,--
BUENOS AIRES,,,SI,,,SI,,--
Buenos Aires,Malvinas Argentinas,,SI,--,,SI,SI,--
BUENOS AIRES,,San Fernando,SI,,SI,SI,,
BUENOS AIRES,,,SI,,,SI,,SI
Buenos Aires,San Fernando,Virreyes,SI,--,SI,SI,SI,--
Buenos Aires,San Isidro,Acassuso,,SI,SI,,SI,SI
Buenos Aires,San Isidro,Beccar,,--,SI,,SI,--
Buenos Aires,San Isidro,Boulogne Sur Mer,SI,--,SI,SI,SI,
CABA,COMUNA 04,,SI,SI,,SI,SI,SI
CHACO,,,--,,,SI,,--
Buenos Aires,San Fernando,Puerto Vilelas,,--,SI,,--,
Buenos Aires,San Fernando,Resistencia,,SI,SI,,SI,
CHACO,,,--,,,SI,,SI
BUENOS AIRES,,Desvío Aguirre,--,,SI,SI,,--
Buenos Aires,Tandil,Gardey,,--,SI,,SI,
Buenos Aires,Tandil,María Ignacia (Est. Vela),SI,--,--,SI,SI,
Buenos Aires,Tandil,Tandil,,SI,SI,,SI,SI
BUENOS AIRES,Tapalqué,Crotto,,--,--,,--,--
BUENOS AIRES,,Tapalqué,--,,--,SI,,SI
BUENOS AIRES,Tapalqué,,--,--,,--,--,
Buenos Aires,Tigre,Benavídez,,--,SI,,SI,SI
Buenos Aires,Tigre,Dique Luján,,--,SI,,SI,--
,COMUNA 10,FLORESTA,SI,SI,SI,SI,SI,
,Futaleufú,Los Cipreses,,--,--,,SI,SI
CHUBUT,,Trevelín,SI,,--,SI,,SI
CHUBUT,Futaleufú,,--,--,,--,SI,SI
CHUBUT,Gaiman,,--,--,,SI,--,
CHUBUT,,,--,,,--,,
CHUBUT,Gaiman,Dolavon,,SI,SI,,SI,SI
Buenos Aires,San Isidro,Martínez,,SI,SI,,SI,SI
BUENOS AIRES,,San Isidro,SI,,SI,SI,,
Buenos Aires,San Isidro,,SI,--,,SI,SI,--
BUENOS AIRES,San Miguel,Bella Vista,,SI,SI,,SI,SI
,San Miguel,Campo De Mayo,--,--,--,SI,--,SI
BUENOS AIRES,,,SI,SI,,SI,SI,
CORDOBA,,Canteras Quilpo,--,,--,--,,--
CORDOBA,,,--,,,--,,--
Buenos Aires,Berisso,,SI,SI,,SI,SI,--
Buenos Aires,Berisso,Los Talas,,--,--,,--,--
Buenos Aires,Berisso,Villa Arguello,,--,SI,,--,
Buenos Aires,Berisso,,--,--,,SI,--,--
BUENOS AIRES,,Villa Independencia,--,,,--,,--
Buenos Aires,Berisso,,--,--,,SI,--,--
BUENOS AIRES,,,--,,,--,,
Buenos Aires,Berisso,Villa Progreso,,--,SI,,--,--
Buenos Aires,Berisso,Villa San Carlos,,--,--,,--,--
Buenos Aires,Berisso,Villa Zula,--,--,--,--,--,
BUENOS AIRES,Bolívar,Hale,,--,--,,SI,--
BUENOS AIRES,,Juan F. Ibarra,--,,--,--,,--
BUENOS AIRES,Bolívar,,--,,,--,--,--
,Bolívar,Paula,,--,--,,--,
,Bolívar,Pirovano,--,--,--,--,SI,
BUENOS AIRES,,,SI,,,SI,,--
BUENOS AIRES,Bolívar,,--,SI,,SI,SI,--
,Bolívar,Villa Lynch Pueyrredón,,--,--,,--,--
Buenos Aires,Bragado,Asamblea,,--,--,,--,
,COMUNA 12,VILLA URQUIZA,,SI,SI,,SI,SI
,Río Cuarto,Alpa Corral,--,--,--,SI,--,--
CORDOBA,Río Cuarto,,SI,--,,SI,,
CORDOBA,,Bulnes,SI,,--,SI,,
,Río Cuarto,Chaján,--,--,SI,SI,SI,SI
,Río Cuarto,Chucul,,--,SI,,SI,--
CORDOBA,,Coronel Baigorria,--,,SI,SI,,--
CHACO,,,--,,,SI,,
,Sargento Cabral,Capitán Solari,--,--,SI,SI,SI,--
,Sargento Cabral,Colonia Elisa,,--,--,,SI,SI
CHACO,Sargento Cabral,Colonias Unidas,,--,SI,,SI,
,Sargento Cabral,Ingeniero Barbet,--,--,--,,--,--
CHACO,Sargento Cabral,,--,--,,SI,SI,SI
CHACO,,Charadai,--,,SI,SI,,SI
,Tapenagá,Cote Lai,,--,--,,SI,--
CHACO,Tapenagá,Haumonía,,--,--,,--,
CHACO,,,--,,,--,,--
CHACO,,La Sabana,--,,--,--,,--
,Biedma,Arroyo Verde,,--,--,,--,
,Biedma,Puerto Madryn,SI,SI,SI,SI,SI,
,Biedma,Puerto Pirámide,--,--,--,SI,SI,SI
CHUBUT,Biedma,Quinta El Mirador,,--,--,,--,--
CORDOBA,,Cruz del Eje,SI,,,SI,,
CORDOBA,Cruz del Eje,,--,--,,--,--,--
CORDOBA,Cruz del Eje,El Rincón,,--,--,,--,--
,Cruz del Eje,Guanaco Muerto,,--,--,,--,--
,Cruz del Eje,La Banda,--,--,--,--,--,SI
